"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"DD_MN008","1303","201902010000","90","3","0"
"DD_MN008","1303","201902010100","80","3","0"
"DD_MN008","1303","201902010200","100","3","0"
"DD_MN008","1303","201902010300","100","3","0"
"DD_MN008","1303","201902010400","110","3","0"
"DD_MN008","1303","201902010500","110","3","0"
"DD_MN008","1303","201902010600","170","3","0"
"DD_MN008","1303","201902010700","190","3","0"
"DD_MN008","1303","201902010800","200","3","0"
"DD_MN008","1303","201902010900","170","3","0"
"DD_MN008","1303","201902011000","170","3","0"
"DD_MN008","1303","201902011100","170","3","0"
"DD_MN008","1303","201902011200","170","3","0"
"DD_MN008","1303","201902011300","180","3","0"
"DD_MN008","1303","201902011400","170","3","0"
"DD_MN008","1303","201902011500","150","3","0"
"DD_MN008","1303","201902011600","110","3","0"
"DD_MN008","1303","201902011700","100","3","0"
"DD_MN008","1303","201902011800","100","3","0"
"DD_MN008","1303","201902011900","100","3","0"
"DD_MN008","1303","201902012000","60","3","0"
"DD_MN008","1303","201902012100","80","3","0"
"DD_MN008","1303","201902012200","80","3","0"
"DD_MN008","1303","201902012300","100","3","0"
"DD_MN008","1303","201902020000","100","3","0"
"DD_MN008","1303","201902020100","80","3","0"
"DD_MN008","1303","201902020200","40","3","0"
"DD_MN008","1303","201902020300","60","3","0"
"DD_MN008","1303","201902020400","70","3","0"
"DD_MN008","1303","201902020500","70","3","0"
"DD_MN008","1303","201902020600","80","3","0"
"DD_MN008","1303","201902020700","60","3","0"
"DD_MN008","1303","201902020800","60","3","0"
"DD_MN008","1303","201902020900","70","3","0"
"DD_MN008","1303","201902021000","10","3","0"
"DD_MN008","1303","201902021100","20","3","0"
"DD_MN008","1303","201902021200","20","3","0"
"DD_MN008","1303","201902021300","10","3","0"
"DD_MN008","1303","201902021400","20","3","0"
"DD_MN008","1303","201902021500","30","3","0"
"DD_MN008","1303","201902021600","30","3","0"
"DD_MN008","1303","201902021700","30","3","0"
"DD_MN008","1303","201902021800","30","3","0"
"DD_MN008","1303","201902021900","30","3","0"
"DD_MN008","1303","201902022000","10","3","0"
"DD_MN008","1303","201902022100","10","3","0"
"DD_MN008","1303","201902022200","350","3","0"
"DD_MN008","1303","201902022300","340","3","0"
"DD_MN008","1303","201902030000","350","3","0"
"DD_MN008","1303","201902030100","20","3","0"
"DD_MN008","1303","201902030200","360","3","0"
"DD_MN008","1303","201902030300","330","3","0"
"DD_MN008","1303","201902030400","340","3","0"
"DD_MN008","1303","201902030500","340","3","0"
"DD_MN008","1303","201902030600","310","3","0"
"DD_MN008","1303","201902030700","330","3","0"
"DD_MN008","1303","201902030800","340","3","0"
"DD_MN008","1303","201902030900","340","3","0"
"DD_MN008","1303","201902031000","340","3","0"
"DD_MN008","1303","201902031100","350","3","0"
"DD_MN008","1303","201902031200","340","3","0"
"DD_MN008","1303","201902031300","350","3","0"
