"SDO_ID","SDO_Name","Geogr_Laenge","Geogr_Breite","Hoehe_ueber_NN","Metadata_Link"
"1303","Essen-Bredeney","6.967741","51.404085","150.0","https://cdc.dwd.de/rest/metadata/station/html/812300695655"
"603","Königswinter-Heiderhof","7.204023","50.729254","147.0","https://cdc.dwd.de/rest/metadata/station/html/812300870951"
